"","lab_number","sample_code","year","site","plot","top","bottom","pH","bray_p","olsen_p","total_carbon","inorganic_carbon","total_p","lead","bulk_density","ksat","k","loi_om","depth_increment_height","dry_mass","radius"
"1182",1182,"C22.19.02.60-80",2022,19,2,60,80,7.9,13,12,0.424,NA,506,7,2.06635806885415,NA,NA,NA,20,143.141,1.05
"1183",1183,"C22.19.02.80-100",2022,19,2,80,100,7.7,51,31,1.369,NA,429,8,1.49137925857295,NA,NA,NA,20,103.311,1.05
"1184",1184,"C22.19.03.0-10",2022,19,3,0,10,7.5,13,9,2.318,NA,438,21,1.13352965455436,NA,NA,NA,10,39.261,1.05
"1185",1185,"C22.19.03.10-20",2022,19,3,10,20,7.7,9,6,1.4,NA,394,18,0.895338583260366,NA,NA,NA,10,31.011,1.05
"1186",1186,"C22.19.03.20-40",2022,19,3,20,40,8.1,4,1,0.608,NA,299,7,1.66287682990463,NA,NA,NA,20,115.191,1.05
"1187",1187,"C22.19.03.40-60",2022,19,3,40,60,8.2,3,2,0.358,NA,307,6,1.78745797810264,NA,NA,NA,20,123.821,1.05
"1188",1188,"C22.19.03.60-80",2022,19,3,60,80,8.2,3,1,0.304,NA,336,7,1.99533382214103,NA,NA,NA,20,138.221,1.05
"1189",1189,"C22.19.03.80-100",2022,19,3,80,100,8.2,3,1,0.385,NA,324,0,1.04083723826474,NA,NA,NA,20,72.101,1.05
"1190",1190,"C22.20.01.0-10",2022,20,1,0,10,7.2,113,NA,7.026,NA,983,80,1.11245335370047,NA,NA,NA,10,38.531,1.05
"1191",1191,"C22.20.01.10-20",2022,20,1,10,20,7.2,113,NA,6.116,NA,906,84,1.18838578006449,NA,NA,NA,10,41.161,1.05
"1192",1192,"C22.20.01.20-40",2022,20,1,20,40,7,75,NA,2.218,NA,478,50,1.04994624226392,NA,NA,NA,20,72.732,1.05
"1193",1193,"C22.20.01.40-60",2022,20,1,40,60,7.4,76,NA,1.089,NA,396,29,1.80968914475674,NA,NA,NA,20,125.361,1.05
"1194",1194,"C22.20.01.60-80",2022,20,1,60,80,7.3,72,NA,1.05,NA,356,12,2.04268331994978,NA,NA,NA,20,141.501,1.05
"1195",1195,"C22.20.01.80-100",2022,20,1,80,100,7.3,74,NA,1.43,NA,385,14,1.28768980306033,NA,NA,NA,20,89.201,1.05
"1196",1196,"C22.20.02.0-10",2022,20,2,0,10,7.4,124,NA,8.559,NA,1015,50,1.01602205938266,NA,NA,NA,10,35.191,1.05
"1197",1197,"C22.20.02.10-20",2022,20,2,10,20,7.4,82,NA,4.078,NA,666,85,1.28221862633182,NA,NA,NA,10,44.411,1.05
"1198",1198,"C22.20.02.20-40",2022,20,2,20,40,7.5,88,42,3.302,NA,606,52,0.897778237263316,NA,NA,NA,20,62.191,1.05
"1199",1199,"C22.20.02.40-60",2022,20,2,40,60,7.4,88,NA,1.308,NA,471,29,1.45528970231629,NA,NA,NA,20,100.811,1.05
"1200",1200,"C22.20.02.60-80",2022,20,2,60,80,7.6,94,40,1.031,NA,388,23,1.60672148036926,NA,NA,NA,20,111.301,1.05
"1201",1201,"C22.20.02.80-100",2022,20,2,80,100,7.7,103,47,1.109,NA,454,18,1.22720370677416,NA,NA,NA,20,85.011,1.05
"1202",1202,"C22.20.03.0-10",2022,20,3,0,10,7.1,93,NA,5.284,NA,683,99,1.2501711003759,NA,NA,NA,10,43.301,1.05
"1203",1203,"C22.20.03.10-20",2022,20,3,10,20,7.1,80,NA,3.498,NA,609,92,1.52676145952699,NA,NA,NA,10,52.881,1.05
"1204",1204,"C22.20.03.20-40",2022,20,3,20,40,7.2,89,NA,1.602,NA,605,52,1.50350534947519,NA,NA,NA,20,104.151,1.05
"1205",1205,"C22.20.03.40-60",2022,20,3,40,60,7.2,83,NA,1.37,NA,402,32,2.11630601471337,NA,NA,NA,20,146.601,1.05
"1206",1206,"C22.20.03.60-80",2022,20,3,60,80,7.2,74,NA,1.54,NA,378,44,0.862121755681731,NA,NA,NA,20,59.721,1.05
"1207",1207,"C22.20.03.80-100",2022,20,3,80,100,7.3,71,NA,0.745,NA,519,9,1.14607438430918,NA,NA,NA,20,79.391,1.05
"1208",1208,"C22.21.01.0-10",2022,21,1,0,10,7.4,26,NA,3.199,NA,521,42,1.0373870766866,NA,NA,NA,10,35.931,1.05
"1209",1209,"C22.21.01.10-20",2022,21,1,10,20,7.7,37,22,2.112,NA,1218,75,1.5365778188288,NA,NA,NA,10,53.221,1.05
"1210",1210,"C22.21.01.20-40",2022,21,1,20,40,7.8,6,7,1.267,NA,394,19,1.85674992611544,NA,NA,NA,20,128.621,1.05
"1211",1211,"C22.21.01.40-60",2022,21,1,40,60,8,5,5,1.379,NA,409,17,1.82932186336037,NA,NA,NA,20,126.721,1.05
"1212",1212,"C22.21.01.60-80",2022,21,1,60,80,7.9,4,4,0.89,NA,571,14,1.80304866640552,NA,NA,NA,20,124.901,1.05
"1213",1213,"C22.21.01.80-100",2022,21,1,80,100,7.8,3,3,0.901,NA,386,13,1.81098836878198,NA,NA,NA,20,125.451,1.05
"1214",1214,"C22.21.02.0-10",2022,21,2,0,10,7.5,187,104,5.739,NA,854,41,0.808434931794315,NA,NA,NA,10,28.001,1.05
"1215",1215,"C22.21.02.10-20",2022,21,2,10,20,7.4,222,NA,7.04,NA,1310,44,1.65148696595002,NA,NA,NA,10,57.201,1.05
"1216",1216,"C22.21.02.20-40",2022,21,2,20,40,7.6,95,64,2.81,NA,478,59,2.49351405670804,NA,NA,NA,20,172.731,1.05
"1217",1217,"C22.21.02.40-60",2022,21,2,40,60,7.6,88,68,3.521,NA,593,51,1.67226011453136,NA,NA,NA,20,115.841,1.05
"1218",1218,"C22.21.02.60-80",2022,21,2,60,80,7.7,14,14,1.285,NA,452,26,2.35752860873293,NA,NA,NA,20,163.311,1.05
"1219",1219,"C22.21.03.0-10",2022,21,3,0,10,8.1,261,102,8.157,NA,1133,21,0.608643148357414,NA,NA,NA,10,21.081,1.05
"1220",1220,"C22.21.03.10-20",2022,21,3,10,20,8.1,118,76,6.974,NA,870,18,1.74474237931725,NA,NA,NA,10,60.431,1.05
"1221",1221,"C22.21.03.20-40",2022,21,3,20,40,7.9,19,7.5,2.117,NA,422,95,0.250475956243762,NA,NA,NA,20,17.351,1.05
"1222",1222,"C22.22.01.0-10",2022,22,1,0,10,7.6,106,52,4,NA,598,57,1.96445559780783,NA,NA,NA,10,68.041,1.05
"1223",1223,"C22.22.01.10-20",2022,22,1,10,20,7.7,59,28,4.109,NA,344,67,1.73839061741607,NA,NA,NA,10,60.211,1.05
"1224",1224,"C22.22.01.20-40",2022,22,1,20,40,7.8,48,25,1.327,NA,316,16,2.17462673762415,NA,NA,NA,20,150.641,1.05
"1225",1225,"C22.22.01.40-60",2022,22,1,40,60,7.6,39,26,1.75,NA,488,18,1.69781152036108,NA,NA,NA,20,117.611,1.05
"1226",1226,"C22.22.01.60-80",2022,22,1,60,80,7.5,41,21,2.114,NA,369,10,1.34312336147057,NA,NA,NA,20,93.041,1.05
"1227",1227,"C22.22.01.80-100",2022,22,1,80,100,7.6,36,18,1.119,NA,241,8,1.80156177668774,NA,NA,NA,20,124.798,1.05
"1228",1228,"C22.22.02.0-10",2022,22,2,0,10,7.3,40,NA,4.858,NA,613,46,1.33418758734142,NA,NA,NA,10,46.211,1.05
"1229",1229,"C22.22.02.10-20",2022,22,2,10,20,7.4,46,NA,5.451,NA,576,47,1.13988141645553,NA,NA,NA,10,39.481,1.05
"1230",1230,"C22.22.02.20-40",2022,22,2,20,40,7.3,39,NA,3.293,NA,582,36,1.11330506722812,NA,NA,NA,20,77.121,1.05
"1231",1231,"C22.22.02.40-60",2022,22,2,40,60,7.1,29,NA,2.084,NA,325,28,1.36419966232446,NA,NA,NA,20,94.501,1.05
"1232",1232,"C22.22.02.60-80",2022,22,2,60,80,6.6,29,NA,1.123,NA,560,22,1.27946138423381,NA,NA,NA,20,88.631,1.05
"1233",1233,"C22.22.02.80-100",2022,22,2,80,100,7.8,14,13,1.785,NA,735,13,1.33633852489432,NA,NA,NA,20,92.571,1.05
"1234",1234,"C22.22.03.0-10",2022,22,3,0,10,7.3,38,NA,7.048,NA,441,31,0.546857828046003,NA,NA,NA,10,18.941,1.05
"1235",1235,"C22.22.03.10-20",2022,22,3,10,20,7.2,41,NA,7.27,NA,547,36,0.722397429678424,NA,NA,NA,10,25.021,1.05
"1236",1236,"C22.22.03.20-40",2022,22,3,20,40,7.5,47,20,3.521,NA,330,21,0.708091529578282,NA,NA,NA,20,49.051,1.05
"1237",1237,"C22.23.01.0-10",2022,23,1,0,10,7.1,33,NA,6.94,NA,725,94,0.837595293249701,NA,NA,NA,10,29.011,1.05
"1238",1238,"C22.23.01.10-20",2022,23,1,10,20,7.2,38,NA,5.988,NA,781,46,1.25219211552628,NA,NA,NA,10,43.371,1.05
"1239",1239,"C22.23.01.20-40",2022,23,1,20,40,7.3,38,NA,5.74,NA,598,64,0.953789228573661,NA,NA,NA,20,66.071,1.05
"1240",1240,"C22.23.01.40-60",2022,23,1,40,60,7.3,32,NA,8.435,NA,682,50,0.687881378074549,NA,NA,NA,20,47.651,1.05
"1241",1241,"C22.23.01.60-80",2022,23,1,60,80,6.6,29,NA,12.045,NA,1146,48,0.569507633552686,NA,NA,NA,20,39.451,1.05
"1242",1242,"C22.23.01.80-100",2022,23,1,80,100,7.2,9,NA,10.539,NA,756,59,0.667238151895736,NA,NA,NA,20,46.221,1.05
"1243",1243,"C22.23.02.0-10",2022,23,2,0,10,7.3,6,NA,7.953,NA,830,84,0.823159470747035,NA,NA,NA,10,28.511,1.05
"1244",1244,"C22.23.02.10-20",2022,23,2,10,20,7.5,36,20,4.623,NA,679,130,1.19704727356609,NA,NA,NA,10,41.461,1.05
"1245",1245,"C22.23.02.20-40",2022,23,2,20,40,7.3,30,NA,3.84,NA,589,118,1.17249193948905,NA,NA,NA,20,81.221,1.05
"1246",1246,"C22.23.02.40-60",2022,23,2,40,60,7.1,34,NA,3.514,NA,496,91,1.2220068106732,NA,NA,NA,20,84.651,1.05
"1247",1247,"C22.23.02.60-80",2022,23,2,60,80,7.1,15,NA,6.609,NA,549,92,0.612382026385605,NA,NA,NA,20,42.421,1.05
"1248",1248,"C22.23.02.80-100",2022,23,2,80,100,6.9,8,NA,13.091,NA,809,78,0.456763859806863,NA,NA,NA,20,31.641,1.05
"1249",1249,"C22.23.03.0-10",2022,23,3,0,10,7.1,31,NA,6.317,NA,790,82,0.532133289093283,NA,NA,NA,10,18.431,1.05
"1250",1250,"C22.23.03.10-20",2022,23,3,10,20,7.2,54,NA,5.763,NA,803,131,1.05932952689065,NA,NA,NA,10,36.691,1.05
"1251",1251,"C22.23.03.20-40",2022,23,3,20,40,7.2,39,NA,2.53,NA,446,51,1.1678724762882,NA,NA,NA,20,80.901,1.05
"1252",1252,"C22.23.03.40-60",2022,23,3,40,60,6.5,25,NA,5.672,NA,517,52,0.848407724304198,NA,NA,NA,20,58.771,1.05
"1253",1253,"C22.23.03.60-80",2022,23,3,60,80,4.8,35,NA,18.416,NA,764,69,0.622631460362498,NA,NA,NA,20,43.131,1.05
"1254",1254,"C22.23.03.80-100",2022,23,3,80,100,5.4,29,NA,14.637,NA,743,104,0.474808637935195,NA,NA,NA,20,32.891,1.05
"1255",1255,"C22.24.01.0-10",2022,24,1,0,10,7.3,8,NA,5.44,NA,485,48,1.13728296840505,NA,NA,NA,10,39.391,1.05
"1256",1256,"C22.24.01.10-20",2022,24,1,10,20,7.3,17,NA,2.479,NA,344,40,2.07272426657782,NA,NA,NA,10,71.791,1.05
"1257",1257,"C22.24.01.20-40",2022,24,1,20,40,7.3,31,NA,0.429,NA,216,11,1.56500195333655,NA,NA,NA,20,108.411,1.05
"1258",1258,"C22.24.01.40-60",2022,24,1,40,60,7.1,34,NA,0.358,NA,160,6,2.41541625696862,NA,NA,NA,20,167.321,1.05
"1259",1259,"C22.24.01.60-80",2022,24,1,60,80,6.9,55,NA,0.491,NA,1230,49,1.91131733517551,NA,NA,NA,20,132.401,1.05
"1260",1260,"C22.24.01.80-100",2022,24,1,80,100,6.9,62,NA,0.376,NA,231,25,3.89970752669276,NA,NA,NA,20,270.141,1.05
"1261",1261,"C22.24.02.0-10",2022,24,2,0,10,7.2,32,NA,4.782,NA,563,34,1.1196712649518,NA,NA,NA,10,38.781,1.05
"1262",1262,"C22.24.02.10-20",2022,24,2,10,20,7.3,22,NA,3.494,NA,526,24,1.37374174099872,NA,NA,NA,10,47.581,1.05
"1263",1263,"C22.24.02.20-40",2022,24,2,20,40,7.6,16,6,1.008,NA,262,19,1.72163062749048,NA,NA,NA,20,119.261,1.05
"1264",1264,"C22.24.02.40-60",2022,24,2,40,60,7.3,26,NA,2.816,NA,465,59,0.728590397532068,NA,NA,NA,20,50.471,1.05
"1265",1265,"C22.24.02.60-80",2022,24,2,60,80,7.6,25,5,1.17,NA,267,60,0.449834665005583,NA,NA,NA,20,31.161,1.05
"1266",1266,"C22.24.02.80-100",2022,24,2,80,100,7.2,38,NA,0.255,NA,232,11,1.91492629080118,NA,NA,NA,20,132.651,1.05
"1267",1267,"C22.24.03.0-10",2022,24,3,0,10,7.1,23,NA,3.992,NA,444,37,1.16817562856076,NA,NA,NA,10,40.461,1.05
"1268",1268,"C22.24.03.10-20",2022,24,3,10,20,7.3,45,NA,1.167,NA,351,17,2.46682222090061,NA,NA,NA,10,85.441,1.05
"1269",1269,"C22.24.03.20-40",2022,24,3,20,40,7.5,52,15,0.349,NA,200,8,1.6475748580518,NA,NA,NA,20,114.131,1.05
"1270",1270,"C22.24.03.40-60",2022,24,3,40,60,7.5,62,17,0.6,NA,260,0,2.02319495957118,NA,NA,NA,20,140.151,1.05
"1271",1271,"C22.24.03.60-80",2022,24,3,60,80,7.4,114,NA,0.323,NA,338,6,1.34398951082073,NA,NA,NA,20,93.101,1.05
"1272",1272,"C22.24.03.80-100",2022,24,3,80,100,7.5,73,20,0.338,NA,251,10,1.22056322842293,NA,NA,NA,20,84.551,1.05
"1273",1273,"C22.25.01.0-10",2022,25,1,0,10,6.3,15,NA,3.379,NA,551,52,1.27240226703001,NA,NA,NA,10,44.071,1.05
"1274",1274,"C22.25.01.10-20",2022,25,1,10,20,6.8,10,NA,2.059,NA,456,45,1.33736346829201,NA,NA,NA,10,46.321,1.05
"1275",1275,"C22.25.01.20-40",2022,25,1,20,40,7,14,NA,1.54,NA,358,21,1.26574735285628,NA,NA,NA,20,87.681,1.05
"1276",1276,"C22.25.01.40-60",2022,25,1,40,60,7.1,52,NA,1.537,NA,509,21,1.3692522002004,NA,NA,NA,20,94.851,1.05
"1277",1277,"C22.25.01.60-80",2022,25,1,60,80,7.3,154,NA,0.827,NA,987,12,1.41198223480829,NA,NA,NA,20,97.811,1.05
"1278",1278,"C22.25.01.80-100",2022,25,1,80,100,7.3,89,NA,0.856,NA,482,14,1.41559119043395,NA,NA,NA,20,98.061,1.05
"1279",1279,"C22.25.02.0-10",2022,25,2,0,10,7,12,NA,2.721,NA,566,78,1.10408057664892,NA,NA,NA,10,38.241,1.05
"1280",1280,"C22.25.02.10-20",2022,25,2,10,20,7.1,10,NA,2.282,NA,556,61,1.55592182098237,NA,NA,NA,10,53.891,1.05
"1281",1281,"C22.25.02.20-40",2022,25,2,20,40,7.4,10,NA,1.434,NA,509,29,1.56240350528607,NA,NA,NA,20,108.231,1.05
"1282",1282,"C22.25.02.40-60",2022,25,2,40,60,7.3,18,NA,1.656,NA,428,19,1.42800599778625,NA,NA,NA,20,98.921,1.05
"1283",1283,"C22.25.02.60-80",2022,25,2,60,80,7.3,44,NA,1.028,NA,393,19,1.46611656919329,NA,NA,NA,20,101.561,1.05
"1284",1284,"C22.25.02.80-100",2022,25,2,80,100,7.3,55,NA,0.674,NA,468,14,1.39913435278092,NA,NA,NA,20,96.921,1.05
"1285",1285,"C22.25.03.0-10",2022,25,3,0,10,6.2,69,NA,3.5,NA,682,55,1.05066803338905,NA,NA,NA,10,36.391,1.05
"1286",1286,"C22.25.03.10-20",2022,25,3,10,20,6.4,58,NA,2.312,NA,587,87,1.46064539246478,NA,NA,NA,10,50.591,1.05
"1287",1287,"C22.25.03.20-40",2022,25,3,20,40,6.6,43,NA,1.447,NA,490,53,1.5284793224048,NA,NA,NA,20,105.881,1.05
"1288",1288,"C22.25.03.40-60",2022,25,3,40,60,6.8,35,NA,0.938,NA,403,39,1.334606226194,NA,NA,NA,20,92.451,1.05
"1289",1289,"C22.25.03.60-80",2022,25,3,60,80,6.8,38,NA,0.877,NA,488,18,1.68481928010868,NA,NA,NA,20,116.711,1.05
"1290",1290,"C22.25.03.80-100",2022,25,3,80,100,6.5,44,NA,1.227,NA,651,40,1.52270499340374,NA,NA,NA,20,105.481,1.05
"1291",1291,"C22.26.01.0-10",2022,26,1,0,10,6.7,36,NA,2.043,NA,583,16,1.38240323450032,NA,NA,NA,10,47.881,1.05
"1292",1292,"C22.26.01.10-20",2022,26,1,10,20,7.2,29,NA,0.721,NA,439,16,1.62896708284586,NA,NA,NA,10,56.421,1.05
"1293",1293,"C22.26.01.20-40",2022,26,1,20,40,7.2,65,NA,0.855,NA,458,32,1.47896445122066,NA,NA,NA,20,102.451,1.05
"1294",1294,"C22.26.01.40-60",2022,26,1,40,60,6.9,124,NA,1.248,NA,903,36,1.91651423127647,NA,NA,NA,20,132.761,1.05
"1295",1295,"C22.26.01.60-80",2022,26,1,60,80,6.9,130,NA,1.11,NA,675,17,0.679797317473056,NA,NA,NA,20,47.091,1.05
"1296",1296,"C22.26.01.80-100",2022,26,1,80,100,6.9,38,NA,0.588,NA,266,8,2.00413967386766,NA,NA,NA,20,138.831,1.05
"1297",1297,"C22.26.02.0-10",2022,26,2,0,10,6.6,23,NA,2.04,NA,482,16,1.44851930156254,NA,NA,NA,10,50.171,1.05
"1298",1298,"C22.26.02.10-20",2022,26,2,10,20,7,18,NA,0.85,NA,342,16,1.38529039900086,NA,NA,NA,10,47.981,1.05
"1299",1299,"C22.26.02.20-40",2022,26,2,20,40,7.1,53,NA,0.727,NA,466,25,1.45875429971693,NA,NA,NA,20,101.051,1.05
"1300",1300,"C22.26.02.40-60",2022,26,2,40,60,6.7,132,NA,2.038,NA,1149,41,1.5517209966341,NA,NA,NA,20,107.491,1.05
"1301",1301,"C22.26.02.60-80",2022,26,2,60,80,6.6,69,NA,1.651,NA,521,16,0.878289876884717,NA,NA,NA,20,60.841,1.05
"1302",1302,"C22.26.02.80-100",2022,26,2,80,100,6.9,31,NA,0.527,NA,195,0,2.25258017913854,NA,NA,NA,20,156.041,1.05
"1303",1303,"C22.26.03.0-10",2022,26,3,0,10,6.7,34,NA,1.915,NA,462,11,1.56747047898451,NA,NA,NA,10,54.291,1.05
"1304",1304,"C22.26.03.10-20",2022,26,3,10,20,7.2,13,NA,0.717,NA,310,12,1.12660045975308,NA,NA,NA,10,39.021,1.05
"1305",1305,"C22.26.03.20-40",2022,26,3,20,40,7.4,80,NA,0.6,NA,469,15,1.69766716213605,NA,NA,NA,20,117.601,1.05
"1306",1306,"C22.26.03.40-60",2022,26,3,40,60,7.5,90,72,0.469,NA,545,22,1.75613224327185,NA,NA,NA,20,121.651,1.05
"1307",1307,"C22.26.03.60-80",2022,26,3,60,80,7.2,98,NA,0.877,NA,669,19,1.95303686220822,NA,NA,NA,20,135.291,1.05
"1308",1308,"C22.26.03.80-100",2022,26,3,80,100,6.7,143,NA,1.466,NA,928,38,2.0038509574176,NA,NA,NA,20,138.811,1.05
"1309",1309,"C22.27.01.0-10",2022,27,1,0,10,7.2,18,NA,5.178,NA,523,111,1.30127391203534,NA,NA,NA,10,45.071,1.05
"1310",1310,"C22.27.01.10-20",2022,27,1,10,20,7.3,10,NA,2.838,NA,356,81,1.38990986220171,NA,NA,NA,10,48.141,1.05
"1311",1311,"C22.27.01.20-40",2022,27,1,20,40,7.9,15,8,1.924,NA,337,59,1.27917266778376,NA,NA,NA,20,88.611,1.05
"1312",1312,"C22.27.02.0-10",2022,27,2,0,10,7.4,22,NA,7.876,NA,673,96,0.926808676316178,NA,NA,NA,10,32.101,1.05
"1313",1313,"C22.27.02.10-20",2022,27,2,10,20,7.5,18,11,5.01,NA,469,106,1.29665444883449,NA,NA,NA,10,44.911,1.05
"1314",1314,"C22.27.02.20-40",2022,27,2,20,40,7.9,12,8,1.737,NA,406,28,1.78716926165258,NA,NA,NA,20,123.801,1.05
"1315",1315,"C22.27.03.0-10",2022,27,3,0,10,7.4,12,NA,5.44,NA,414,78,0.681688410220905,NA,NA,NA,10,23.611,1.05
"1316",1316,"C22.27.03.10-20",2022,27,3,10,20,7.2,9,NA,6.011,NA,492,86,1.04893573468873,NA,NA,NA,10,36.331,1.05
"1317",1317,"C22.27.03.20-40",2022,27,3,20,40,7.6,14,6,2.011,NA,760,52,1.33706031601945,NA,NA,NA,20,92.621,1.05
"1318",1318,"C22.27.03.40-60",2022,27,3,40,60,7.8,6,4,2.322,NA,379,33,1.71080376061348,NA,NA,NA,20,118.511,1.05
"1319",1319,"C22.28.01.0-10",2022,28,1,0,10,6.3,43,NA,5.592,NA,839,55,0.900535479361325,NA,NA,NA,10,31.191,1.05
"1320",1320,"C22.28.01.10-20",2022,28,1,10,20,6.5,32,NA,3.422,NA,782,61,1.55072492488141,NA,NA,NA,10,53.711,1.05
"1321",1321,"C22.28.01.20-40",2022,28,1,20,40,6.6,51,NA,1.549,NA,726,26,1.11893503800416,NA,NA,NA,20,77.511,1.05
"1322",1322,"C22.28.01.40-60",2022,28,1,40,60,6.7,64,NA,0.629,NA,491,8,1.43753364063801,NA,NA,NA,20,99.581,1.05
"1323",1323,"C22.28.01.60-80",2022,28,1,60,80,6.5,70,NA,0.761,NA,560,16,1.5733747303881,NA,NA,NA,20,108.991,1.05
"1324",1324,"C22.28.01.80-100",2022,28,1,80,100,6.3,71,NA,1.083,NA,754,19,0.683406273098723,NA,NA,NA,20,47.341,1.05
"1325",1325,"C22.28.02.0-10",2022,28,2,0,10,6.3,38,NA,4.78,NA,851,111,1.15143007445766,NA,NA,NA,10,39.881,1.05
"1326",1326,"C22.28.02.10-20",2022,28,2,10,20,6.3,29,NA,3.696,NA,817,79,1.70951897241074,NA,NA,NA,10,59.211,1.05
"1327",1327,"C22.28.02.20-40",2022,28,2,20,40,6.7,23,NA,1.115,NA,403,27,1.27065553250719,NA,NA,NA,20,88.021,1.05
"1328",1328,"C22.28.02.40-60",2022,28,2,40,60,6.8,18,NA,0.648,NA,363,11,1.27195475653243,NA,NA,NA,20,88.111,1.05
"1329",1329,"C22.28.02.60-80",2022,28,2,60,80,6.7,35,NA,1.861,NA,561,27,0.190567292857697,NA,NA,NA,20,13.201,1.05
"1330",1330,"C22.28.02.80-100",2022,28,2,80,100,6.5,50,NA,1.264,NA,448,25,0.522735568644047,NA,NA,NA,20,36.211,1.05
"1331",1331,"C22.28.03.0-10",2022,28,3,0,10,6.3,35,NA,2.98,NA,478,65,1.36796741199766,NA,NA,NA,10,47.381,1.05
"1332",1332,"C22.28.03.10-20",2022,28,3,10,20,6.2,17,NA,1.235,NA,331,16,1.61337639454298,NA,NA,NA,10,55.881,1.05
"1333",1333,"C22.28.03.20-40",2022,28,3,20,40,6.3,15,NA,0.897,NA,328,15,0.98930135193022,NA,NA,NA,20,68.531,1.05
"1334",1334,"C22.29.01.0-10",2022,29,1,0,10,6.9,33,NA,4.363,NA,605,44,NA,NA,NA,NA,10,NA,1.05
"1335",1335,"C22.29.01.10-20",2022,29,1,10,20,7.1,16,NA,2.9,NA,482,43,NA,NA,NA,NA,10,NA,1.05
"1336",1336,"C22.29.01.20-40",2022,29,1,20,40,7.4,30,NA,3.693,NA,459,55,NA,NA,NA,NA,20,NA,1.05
"1337",1337,"C22.29.01.40-60",2022,29,1,40,60,7.5,26,12,3.17,NA,438,57,NA,NA,NA,NA,20,NA,1.05
"1338",1338,"C22.29.01.60-80",2022,29,1,60,80,7.3,23,NA,2.974,NA,503,28,NA,NA,NA,NA,20,NA,1.05
"1339",1339,"C22.29.01.80-100",2022,29,1,80,100,7.2,15,NA,1.689,NA,483,12,NA,NA,NA,NA,20,NA,1.05
"1340",1340,"C22.29.02.0-10",2022,29,2,0,10,6.6,14,NA,4.419,NA,534,34,0.906021091912339,NA,NA,NA,10,31.381,1.05
"1341",1341,"C22.29.02.10-20",2022,29,2,10,20,6.8,7,NA,3.876,NA,429,46,1.18261145106342,NA,NA,NA,10,40.961,1.05
"1342",1342,"C22.29.02.20-40",2022,29,2,20,40,6.8,5,NA,2.829,NA,404,24,1.12788524795582,NA,NA,NA,20,78.131,1.05
"1343",1343,"C22.29.02.40-60",2022,29,2,40,60,6.1,7,NA,1.741,NA,401,13,1.3909059339544,NA,NA,NA,20,96.351,1.05
"1344",1344,"C22.29.02.60-80",2022,29,2,60,80,6,8,NA,1.01,NA,371,12,1.29418592318653,NA,NA,NA,20,89.651,1.05
"1345",1345,"C22.29.02.80-100",2022,29,2,80,100,5.9,11,NA,0.61,NA,295,12,1.42511883328571,NA,NA,NA,20,98.721,1.05
"1346",1346,"C22.29.03.0-10",2022,29,3,0,10,6.3,8,NA,3.829,NA,498,27,1.02641585158458,NA,NA,NA,10,35.551,1.05
"1347",1347,"C22.29.03.10-20",2022,29,3,10,20,6.4,5,NA,3.668,NA,465,42,1.12082613075201,NA,NA,NA,10,38.821,1.05
"1348",1348,"C22.29.03.20-40",2022,29,3,20,40,6.4,4,NA,2.031,NA,413,14,1.15473587781078,NA,NA,NA,20,79.991,1.05
"1349",1349,"C22.29.03.40-60",2022,29,3,40,60,6.1,4,NA,1.37,NA,363,18,0.944694660396982,NA,NA,NA,20,65.441,1.05
"1350",1350,"C22.29.03.60-80",2022,29,3,60,80,6.1,7,NA,0.519,NA,300,9,1.12557551635539,NA,NA,NA,20,77.971,1.05
"1351",1351,"C22.29.03.80-100",2022,29,3,80,100,6.4,13,NA,2.438,NA,388,20,0.137732182497939,NA,NA,NA,20,9.541,1.05
"1352",1352,"C22.30.01.0-10",2022,30,1,0,10,7.3,61,NA,3.753,NA,685,NA,0.96867256157391,NA,NA,NA,10,33.551,1.05
"1353",1353,"C22.30.01.10-20",2022,30,1,10,20,7.4,51,NA,3.925,NA,724,46,1.13410708745447,NA,NA,NA,10,39.281,1.05
"1354",1354,"C22.30.01.20-40",2022,30,1,20,40,7.9,22,11,6.114,NA,305,26,1.78312723135184,NA,NA,NA,20,123.521,1.05
"1355",1355,"C22.30.01.40-60",2022,30,1,40,60,7.9,11,6,1.4,NA,390,8,1.82917750513534,NA,NA,NA,20,126.711,1.05
"1356",1356,"C22.30.01.60-80",2022,30,1,60,80,7.8,8,5,0.902,NA,339,8,1.32854318074288,NA,NA,NA,20,92.031,1.05
"1357",1357,"C22.30.01.80-100",2022,30,1,80,100,7.9,8,4,0.586,NA,308,0,1.65031766432731,NA,NA,NA,20,114.321,1.05
"1358",1358,"C22.31.01.0-10",2022,31,1,0,10,7.6,15,20,4.841,NA,459,24,1.07405406584337,NA,NA,NA,10,37.201,1.05
"1359",1359,"C22.31.01.10-20",2022,31,1,10,20,7.8,31,18,5.634,NA,520,26,0.455623429829152,NA,NA,NA,10,15.781,1.05
"1360",1360,"C22.31.01.20-40",2022,31,1,20,40,7.4,12,NA,4.271,NA,431,44,1.33056419589325,NA,NA,NA,20,92.171,1.05
"1361",1361,"C22.31.01.40-60",2022,31,1,40,60,7.5,11,10,4.505,NA,372,78,1.94870611545742,NA,NA,NA,20,134.991,1.05
"1362",1362,"C22.31.02.0-10",2022,31,2,0,10,7.6,28,19,3.128,NA,258,22,0.862136191504233,NA,NA,NA,10,29.861,1.05
