,year,site,plot,ksat_1,ksat_2,ksat_3,ksat_4,ksat_5,ksat_avg,site_type,land_use
120,2020,21,61,3.376077963,NA,NA,NA,NA,3.376077963,Residential,Garden
121,2020,21,62,9.784816327,7.279668108,14.55181097,9.097227242,5.074436532,9.157591836,Residential,Garden
122,2020,21,63,26.87454089,21.52249702,29.10362195,NA,NA,25.83355329,Residential,Maintained_lawn
123,2020,22,64,21.95754033,18.36381112,17.48442698,NA,NA,19.26859281,Residential,Maintained_lawn
124,2020,22,65,17.85904074,22.14299578,9.921689301,NA,NA,16.64124194,Residential,Maintained_lawn
125,2020,22,66,9.590966324,4.630121674,7.596175417,NA,NA,7.272421138,Residential,Maintained_lawn
126,2020,23,67,5.291567627,10.12823389,5.275121817,NA,NA,6.898307778,Residential,Maintained_lawn
127,2020,23,68,13.9263216,22.83496439,12.45543512,NA,NA,16.4055737,Residential,Maintained_lawn
128,2020,23,69,22.14299578,28.99204838,30.44661919,NA,NA,27.19388778,Residential,Garden_food_producing_raised_beds
129,2020,24,70,15.96853141,10.49786754,7.611654798,NA,NA,11.35935125,Residential,Maintained_lawn
130,2020,24,71,28.97972278,30.40769909,42.57077872,NA,NA,33.98606686,Residential,Garden_non_food_producing
131,2020,24,72,90.69092062,68.34111766,66.13656548,NA,NA,75.05620125,Residential,Garden_food_producing_raised_beds
132,2020,25,73,12.32162056,21.52249702,14.55181097,NA,NA,16.13197618,Residential,Maintained_lawn
133,2020,25,74,3.071466569,1.290489094,6.701381605,NA,NA,3.687779089,Residential,Maintained_lawn
134,2020,25,75,175.6603226,39.48314795,48.77330041,NA,NA,87.97225699,Residential,Garden_food_producing_raised_beds
135,2020,26,76,23.61402729,17.99118407,9.687560652,NA,NA,17.09759067,Residential,Garden
136,2020,26,77,19.60774552,14.53134098,4.293292263,NA,NA,12.81079292,Residential,Maintained_lawn
137,2020,26,78,20.38914459,20.54144769,19.60774552,NA,NA,20.17944593,Residential,Garden_food_producing_raised_beds
138,2020,27,79,14.55556359,29.08384634,10.47018468,NA,NA,18.03653154,Residential,Garden_non_food_producing
139,2020,27,80,13.9263216,11.63353854,NA,NA,NA,12.77993007,Residential,Maintained_lawn
140,2020,27,81,1.15328103,1.163353854,1.066407699,NA,NA,1.127680861,Residential,Garden
141,2020,28,82,46.68510839,26.1436607,12.59744104,NA,NA,28.47540338,Residential,Maintained_lawn
142,2020,28,83,17.2734901,19.60774552,16.80663902,NA,NA,17.89595821,Residential,Maintained_lawn
143,2020,28,84,12.5471659,8.398294029,8.362117249,NA,NA,9.769192393,Residential,Garden
144,2020,29,85,14.93923468,14.53134098,23.52693301,NA,NA,17.66583622,Residential,Garden
145,2020,29,86,15.19235083,7.957639107,19.31981518,NA,NA,14.15660171,Residential,Maintained_lawn
146,2020,29,87,10.91778224,264.983224,4.619061716,NA,NA,93.50668932,Residential,Garden_non_food_producing
147,2020,30,88,39.73269203,43.08150595,22.88705004,NA,NA,35.23374934,Residential,Garden_non_food_producing
148,2020,30,89,7.764548893,53.13156141,30.44661919,NA,NA,30.4475765,Residential,Garden_non_food_producing
149,2020,30,90,5.997061356,43.4814738,48.0974693,NA,NA,32.52533482,Residential,Garden_food_producing_in_ground
150,2020,31,91,5.038976417,1.551138472,3.805827399,NA,NA,3.465314096,Residential,Garden
151,2020,31,92,7.601924772,15.1236001,12.92051472,NA,NA,11.8820132,Residential,Garden_non_food_producing
152,2020,31,93,8.862204653,6.463783748,4.431102327,NA,NA,6.585696909,Residential,Garden
153,2020,32,94,33.21449366,16.60724683,25.59378478,NA,NA,25.13850842,Residential,Maintained_lawn
154,2020,32,95,29.27672044,22.14299578,7.982021011,NA,NA,19.80057908,Residential,Garden
155,2020,32,96,1.688038982,1.793541418,NA,NA,NA,1.7407902,Residential,Garden
156,2020,33,97,21.95754033,20.91194317,14.63836022,NA,NA,19.16928124,Residential,Maintained_lawn
157,2020,33,98,16.72955454,18.67404336,11.76346651,NA,NA,15.7223548,Residential,Garden
158,2020,33,99,17.08200756,16.79658806,4.155289552,NA,NA,12.67796172,Residential,Garden
159,2020,34,100,1.399715672,27.07736287,15.91527821,NA,NA,14.79745225,Residential,Maintained_lawn
160,2020,34,101,6.963160799,15.11692925,8.364777269,NA,NA,10.14828911,Residential,Garden
161,2020,34,102,8.364777269,10.09722796,3.359317612,NA,NA,7.27377428,Residential,Maintained_lawn
162,2020,35,103,5.227985793,5.828142325,12.66029236,NA,NA,7.905473493,Residential,Maintained_lawn
163,2020,35,104,24.21890163,14.27709985,13.83937236,NA,NA,17.44512461,Residential,Maintained_lawn
164,2020,35,105,7.978379328,12.59744104,5.098284562,NA,NA,8.558034977,Residential,Maintained_lawn
165,2020,36,106,13.77484925,20.86760445,11.50156874,NA,NA,15.38134081,Residential,Maintained_lawn
166,2020,36,107,12.59414789,8.714553566,6.84714923,NA,NA,9.385283562,Residential,Garden_non_food_producing
167,2020,36,108,20.91194317,8.398294029,5.87880582,NA,NA,11.72968101,Residential,Garden
168,2020,37,109,13.43727045,15.2233096,13.68346459,NA,NA,14.11468155,Residential,Garden
169,2020,37,110,16.79658806,14.93923468,14.63836022,NA,NA,15.45806099,Residential,Garden
170,2020,37,111,14.16841638,18.20719227,15.11692925,NA,NA,15.83084597,Residential,Garden
171,2020,38,112,20.75905854,10.37952927,15.96404202,NA,NA,15.70087661,Residential,Garden
172,2020,38,113,13.43727045,4.199147015,16.79658806,NA,NA,11.47766851,Residential,Maintained_lawn
173,2020,38,114,NA,NA,NA,NA,NA,0,Residential,NA
174,2020,39,115,7.611654798,5.235092342,2.743063345,NA,NA,5.196603495,Residential,Maintained_lawn
175,2020,39,116,3.800962386,3.91920388,5.997061356,NA,NA,4.572409207,Residential,Maintained_lawn
176,2020,39,117,15.2233096,13.96024625,10.76124851,NA,NA,13.31493479,Residential,Maintained_lawn
177,2020,40,118,5.038976417,7.558464626,6.461636056,NA,NA,6.3530257,Residential,Maintained_lawn
178,2020,40,NA,17.99118407,6.330146181,20.52519688,NA,NA,14.94884238,Residential,Maintained_lawn
179,2020,40,119,4.56162303,3.935517908,4.306838239,NA,NA,4.267993059,Residential,Maintained_lawn
180,2020,41,120,13.29330698,34.24033957,21.28538936,NA,NA,22.93967864,Residential,Garden_food_producing_raised_beds
181,2020,41,121,22.88705004,7.469617342,7.558464626,NA,NA,12.63837734,Residential,Garden_food_producing_raised_beds
182,2020,41,122,7.596175417,4.071738488,3.75663073,NA,NA,5.141514878,Residential,Maintained_lawn
183,2020,41,123,7.982021011,3.113858781,14.55933622,NA,NA,8.551738671,Residential,Maintained_lawn
184,2020,42,124,17.21054376,22.60426006,12.8090807,NA,NA,17.54129484,Residential,Garden_food_producing_in_ground
185,2020,42,125,5.535748944,4.329238337,1.383937236,NA,NA,3.749641506,Residential,Garden_food_producing_in_ground
186,2020,42,126,17.99118407,4.151811708,6.013638872,NA,NA,9.385544883,Residential,Garden_food_producing_in_ground
187,2020,42,127,6.91968618,7.969734211,4.201659755,NA,NA,6.363693382,Residential,Garden_food_producing_in_ground
188,2020,43,128,6.107607732,7.957639107,11.47766851,NA,NA,8.514305116,Residential,Garden
189,2020,43,129,4.472485864,6.211785922,9.659907592,NA,NA,6.781393126,Residential,Garden
190,2020,43,130,5.235092342,3.780900025,3.877846179,NA,NA,4.297946182,Residential,Maintained_lawn
191,2020,44,131,6.689284659,6.107607732,10.19656912,NA,NA,7.66448717,Community Garden/Urban Farm,Garden_food_producing_in_ground
192,2020,44,132,5.634946095,4.653415415,4.220097454,NA,NA,4.836152988,Community Garden/Urban Farm,Garden_food_producing_in_ground
193,2020,44,133,4.924787617,7.279668108,6.171607628,NA,NA,6.125354451,Community Garden/Urban Farm,Garden_food_producing_in_ground
194,2020,44,134,12.16307964,7.244930694,5.07868723,NA,NA,8.162232521,Community Garden/Urban Farm,Garden_food_producing_in_ground
195,2021,45,135,118.1284228,62.05208468,85.87520534,NA,NA,88.68523761,Residential,Maintained_lawn
196,2021,45,136,42.68295244,29.27793909,29.27793909,NA,NA,33.74627687,Residential,Maintained_lawn
197,2021,45,137,138.1489338,33.76205212,37.41533625,NA,NA,69.77544072,Residential,Maintained_lawn
198,2021,46,138,59.20668593,34.29795771,99.86290377,NA,NA,64.45584914,Community Garden/Urban Farm,Garden_food_producing_in_ground
199,2021,46,139,45.40739621,73.58319225,108.7036845,NA,NA,75.89809099,Community Garden/Urban Farm,Garden_food_producing_in_ground
200,2021,46,140,90.03213898,15.76782691,110.3747884,NA,NA,72.05825143,Community Garden/Urban Farm,Garden_food_producing_in_ground
201,2021,46,141,141.4790755,137.1918308,46.04964461,NA,NA,108.2401836,Community Garden/Urban Farm,Garden_food_producing_in_ground
202,2021,46,142,175.7770332,94.60696146,63.07130764,NA,NA,111.1517674,Community Garden/Urban Farm,Garden_food_producing_in_ground
203,2021,46,143,54.02716337,69.15476912,49.93145188,NA,NA,57.70446146,Community Garden/Urban Farm,Garden_food_producing_in_ground
